City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Meleuz,RU,54.12,clear sky,52.97,55.92,Hotel Prestizh
364,Mumford,GH,75.61,few clouds,5.26,-0.76,Spanish Villa
365,Bonthe,SL,80.1,light rain,7.53,-12.51,Bonthe Holiday Village
367,Koumac,NC,70.14,scattered clouds,-20.57,164.28,Le Monitel
368,Berlevag,NO,66.2,light rain,70.86,29.09,Kvitbrakka
369,Eyl,SO,77.79,broken clouds,7.98,49.82,Amiin Hotel
370,Pucallpa,PE,75.2,broken clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
371,Dekar,BW,66.81,clear sky,-21.53,21.93,
372,Ihosy,MG,62.83,few clouds,-22.4,46.12,Hotely Sariaka
373,Mkushi,ZM,63.86,broken clouds,-13.62,29.39,Divine Lodge Mkushi
374,Kushmurun,KZ,59.92,few clouds,52.45,64.63,Gostinitsa Pri Depo
376,Channel-Port Aux Basques,CA,64.81,clear sky,47.57,-59.14,St. Christopher's Hotel
377,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
378,Quatre Cocos,MU,72.0,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
379,Havoysund,NO,60.8,scattered clouds,71.0,24.66,Arctic View Glamping & Restaurant
380,Kodinsk,RU,54.54,overcast clouds,58.69,99.18,
381,Palmer,US,90.0,few clouds,42.16,-72.33,Wedgewood Motel
382,Namatanai,PG,77.77,moderate rain,-3.67,152.43,Namatanai Hotel
383,Seoul,KR,73.4,scattered clouds,37.57,126.98,LOTTE HOTEL SEOUL
384,Karasjok,NO,64.4,broken clouds,69.47,25.51,Karasjok camping AS
385,Peniche,PT,80.01,few clouds,39.36,-9.38,Hotel Star inn Peniche
386,Kavaratti,IN,82.51,light rain,10.57,72.64,Bismillah Hotel And Lodging
387,Fairbanks,US,55.0,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
388,Ixtapa,MX,88.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
389,Lasa,IT,66.99,broken clouds,46.62,10.7,Pension Feldgärtenhof
390,Irece,BR,87.35,scattered clouds,-11.3,-41.86,RADAR INN HOTEL
391,Tikhvin,RU,60.01,overcast clouds,59.65,33.53,"Gostinitsa ""Staryy Dom"""
392,Vyartsilya,RU,63.64,few clouds,62.18,30.69,Hotelli Joki
393,Iguape,BR,65.77,light rain,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
394,Pierre,US,87.01,clear sky,44.37,-100.35,Ramkota Hotel
396,Hami,CN,82.74,broken clouds,42.8,93.45,Laoyutang Resort
397,Robertsport,LR,76.71,moderate rain,6.75,-11.37,Kwepunha Retreat
399,Bandundu,CD,82.08,overcast clouds,-3.32,17.37,Coja Color
401,Oviedo,ES,72.0,scattered clouds,43.36,-5.84,Hotel Santa Clara
402,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
403,Disna,BY,65.12,moderate rain,55.57,28.2,
405,Waipawa,NZ,52.0,moderate rain,-41.41,175.52,Tora Coastal Walk
406,Plettenberg Bay,ZA,57.22,scattered clouds,-34.05,23.37,Thanda Vista B&B
